"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"0001","Leyser Day, Ottoline","SCS2","UKRI-Chief Executive Officer-1077133","Executive Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","XX","0","1.00","220000","224999","","Operational Delivery Profession","London","","1"
"0002","N/A","SCS1","Challenge Director - Transforming Foundation Industries","UKRI Programmes","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0006","307468","1.00","125000","129999","","Operational Delivery Profession","Unknown","","1"
"0003","N/A","SCS1","UKRI-Deputy Director-1086181","Strategy, Analysis and Performance Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0064","1500325","1.00","90000","94999","","Operational Delivery Profession","Unknown","","1"
"0004","Barford, David","SCS2","MRC-Scientific Programme Leader-1060875","Structural Studies","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","MRC","01793 444000","communications@ukri.org","0069","1168489","1.00","135000","139999","","Operational Delivery Profession","East of England","","1"
"0005","Bianek, Timothy","SCS2","UKRI-Chief Operating Officer-1088740","Operations Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0001","12306203","1.00","120000","124999","","Operational Delivery Profession","London","","1"
"0006","N/A","SCS1","ISCF Programme Director","Executive","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0081","843516","1.00","110000","114999","","Operational Delivery Profession","Unknown","","1"
"0007","Bienz, Mariann","SCS2","MRC-Scientific Programme Leader-1049995","PNAC","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","MRC","01793 444000","communications@ukri.org","0069","249835","0.50","115000","119999","","Operational Delivery Profession","East of England","","1"
"0008","N/A","SCS1","NERC-HO Director Major Programmes-1086492","HO Major Programmes","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","NERC","01793 444000","communications@ukri.org","0129","1384502","1.00","90000","94999","","Operational Delivery Profession","South West","","1"
"0010","N/A","SCS1","STFC-Executive Director Programme-1054622","Programmes","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","STFC","01793 444000","communications@ukri.org","0115","2703278","1.00","105000","109999","","Operational Delivery Profession","South West","","1"
"0011","N/A","SCS1","STFC-Chief Operating Officer-1080313","Science and Technology Facilities Council","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","STFC","01793 444000","communications@ukri.org","0115","7421206","1.00","95000","99999","","Operational Delivery Profession","South East","","1"
"0012","Brown, Stephen","SCS2","MRC-Science Director-1050198","Genetics and Pathobiology of Deafness (Brown)","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","MRC","01793 444000","communications@ukri.org","0124","3693028","0.68","140000","144999","","Operational Delivery Profession","South East","","1"
"0013","N/A","SCS1","UKRI-Financial Controller and Head of Management Reporting-1087845","CFO Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0035","1204853","1.00","85000","89999","","Government Finance Profession","South West","","1"
"0014","Buckle, Rob","SCS2","MRC-Administration Director-1060550","RPG","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","MRC","01793 444000","communications@ukri.org","0124","2433344","1.00","110000","114999","","Operational Delivery Profession","London","","1"
"0015","N/A","SCS1","UKRI-Programme Director-1087807","Operations Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0005","554049","1.00","90000","94999","","Operational Delivery Profession","South West","","1"
"0016","N/A","SCS1","UKRI-Deputy Director Research Sustainability and Infrastructure-1088359","Strategy, Analysis and Performance Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0106","654427","1.00","85000","89999","","Digital, Data and Technology Professions","London","","1"
"0017","N/A","SCS1","Challenge Director - Audience Of The Future","UKRI Programmes","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0131","498266","0.90","140000","144999","","Operational Delivery Profession","London","","1"
"0018","N/A","SCS1","STFC-Executive Director-1086939","Accelerator Science and Technology Centre","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","STFC","01793 444000","communications@ukri.org","0040","3562350","1.00","85000","89999","","Operational Delivery Profession","North West","","1"
"0019","N/A","SCS1","STFC-Director Central Laser Facility-6000409","Central Laser Facility","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","STFC","01793 444000","communications@ukri.org","0088","7073941","1.00","90000","94999","","Government Science and Engineering Profession","South East","","1"
"0020","Collis, Amanda","SCS2","BBSRC-Executive Director, Research Strategy and Programmes-1085072","Research Strategy and Programme","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","BBSRC","01793 444000","communications@ukri.org","0125","2598500","1.00","90000","94999","","Operational Delivery Profession","South West","","1"
"0021","N/A","SCS1","BBSRC-Exec Director, Strategic Planning, Evidence & Engmnt-1089280","Strategic Planning, Evidence and Engagement","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","BBSRC","01793 444000","communications@ukri.org","0125","1012198","1.00","80000","84999","","Operational Delivery Profession","South West","","1"
"0022","N/A","SCS1","UKRI-Deputy Director Analysis and Performance-1086088","Strategy, Analysis and Performance Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0106","1398332","1.00","85000","89999","","Digital, Data and Technology Professions","London","","1"
"0023","N/A","SCS1","Challenge Director - Manufacturing Made Smarter","UKRI Programmes","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0006","308982","1.00","120000","124999","","Operational Delivery Profession","Unknown","","1"
"0024","N/A","SCS1","STFC-Director of NQCC-1089121","NQCC","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","STFC","01793 444000","communications@ukri.org","0040","507742","1.00","125000","129999","","Operational Delivery Profession","South East","","1"
"0025","N/A","SCS1","Challenge Director","UKRI Programmes","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0131","320053","1.00","125000","129999","","Operational Delivery Profession","Unknown","","1"
"0026","N/A","SCS1","Challenge Director - Smart Sustainable Plastic Packaging","UKRI Programmes","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0006","443632","1.00","120000","124999","","Operational Delivery Profession","Unknown","","1"
"0027","N/A","SCS1","Challenge Director - Low Cost Nuclear","UKRI Programmes","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0006","166050","1.00","110000","114999","","Operational Delivery Profession","Unknown","","1"
"0028","N/A","SCS1","EPSRC-Deputy Executive Chair-1084418","Executive Chair and Deputy Executive Chairs","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","EPSRC","01793 444000","communications@ukri.org","0044","0","1.00","100000","104999","","Operational Delivery Profession","South West","","1"
"0029","Donaldson, Sue","SCS2","UKRI-Chief People Officer-1090147","Human Resources Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0001","1998340","1.00","120000","124999","","Human Resources Profession","South West","","1"
"0030","N/A","SCS1","Challenge Director - Driving the Electric Revolution","UKRI Programmes","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0131","336176","1.00","125000","129999","","Operational Delivery Profession","Unknown","","1"
"0031","N/A","SCS1","UKRI-Deputy Director Talent, Careers & Reward-1089663","Human Resources Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0029","1109916","1.00","70000","74999","","Human Resources Profession","London","","1"
"0032","Dunlop, Hugh","SCS2","MRC-Administration Director-1039455","Chief Executive Office","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","MRC","01793 444000","communications@ukri.org","0124","7532725","1.00","110000","114999","","Operational Delivery Profession","London","","1"
"0033","N/A","SCS1","STFC-Director ISIS-1090345","ISIS","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","STFC","01793 444000","communications@ukri.org","0088","22604507","1.00","110000","114999","","Operational Delivery Profession","South East","","1"
"0034","N/A","SCS1","Chief Business Officer","Executive","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0081","3422242","1.00","140000","144999","","Operational Delivery Profession","Unknown","","1"
"0035","N/A","SCS1","UKRI-Deputy Chief Finance Officer-1091932","CFO Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0001","4048147","0.90","110000","114999","","Government Finance Profession","South West","","1"
"0036","N/A","SCS1","UKRI-Deputy Director Culture, Inclusion and Learning-1090159","Human Resources Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0029","602136","1.00","85000","89999","","Human Resources Profession","London","","1"
"0037","N/A","SCS1","STFC-Executive Director of SPC-1081263","Strategy Planning and Communications","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","STFC","01793 444000","communications@ukri.org","0115","2134863","1.00","100000","104999","","Operational Delivery Profession","South West","","1"
"0038","Fisher, Amanda","SCS2","MRC-Director-1089073","Epigenetics","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","MRC","01793 444000","communications@ukri.org","0124","5500572","1.00","120000","124999","","Operational Delivery Profession","London","","1"
