"ahrc","Arts and Humanities Research Council funds outstanding original research across the whole range of the arts and humanities.","https://www.ukri.org/councils/ahrc/","AHRC","1998"
"bbsrc","Biotechnology and Biological Sciences Research Council invests to push back the frontiers of biology and deliver a healthy, prosperous and sustainable future.","https://www.ukri.org/councils/bbsrc/","BBSRC","1994"
"dasa","DASA finds and funds exploitable innovation to support UK defence and security quickly and effectively, and support UK prosperity.","https://www.gov.uk/government/organisations/defence-and-security-accelerator","DASA","2016"
"epsrc","EPSRC creates knowledge in engineering and physical sciences for UK capability to benefit society and the economy.","https://www.ukri.org/councils/epsrc/","EPSRC","1994"
"esrc","ESRC is the UK\u2019s largest funder of economic, social, behavioural and human data science.","https://www.ukri.org/councils/esrc/","ESRC","1965"
"innovate-uk","Innovate UK is the UK\u2019s national innovation agency supporting business-led innovation in all sectors, technologies and UK regions.","https://www.ukri.org/councils/innovate-uk/","Innovate UK","2007"
"ktn","Innovate UK KTN exists to connect innovators with new partners and new opportunities beyond their existing thinking","https://ktn-uk.org/","KTN","2015"
"ktnie","KTN-iX provides an opportunity to become directly linked to, or collaborate with, key industry stakeholders who are actively seeking the most innovative solutions","https://www.ktninnovationexchange.co.uk/","KTN-iX","2017"
"mrc","MRC funds research at the forefront of science to prevent illness, develop therapies and improve human health.","https://www.ukri.org/councils/mrc/","MRC","1913"
"ncsc","The National Cyber Security Centre (NCSC) is an organisation of the United Kingdom Government that provides advice and support for the public and private sector in how to avoid computer security threats","https://www.ncsc.gov.uk/","NCSC","2016"
"nerc","NERC is the driving force of investment in environmental science.","https://www.ukri.org/councils/nerc/","NERC","1965"
"research-england","We are responsible for funding and engaging with English higher education providers, to create and sustain the conditions for a healthy and dynamic research and knowledge exchange system in the higher education sector.","https://www.ukri.org/councils/research-england/","Research England","2018"
"stfc","STFC\u2019s mission is to deliver world-leading national and international research and innovation capabilities and, through those, discover the secrets of the Universe. Our major research and innovation campuses at Harwell, Daresbury and research facilities across the UK support fundamental research in astronomy, physics and space science.","https://www.ukri.org/councils/stfc/","STFC","2007"
"ukri","UKRI convenes, catalyses and invests in close collaboration with others to build a thriving, inclusive research and innovation system.","https://www.ukri.org/","UKRI","2018"
"beis","Leading economy-wide transformation by backing enterprise and long-term growth, generating cheaper, cleaner, homegrown energy and unleashing the UK as a science superpower through innovation","https://www.gov.uk/government/organisations/department-for-business-energy-and-industrial-strategy/","BEIS","2009"
